기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,주야간명,제외여부,제외사유,1학년수(명),2학년수(명),3학년수(명),4학년수(명),5학년수(명),6학년수(명),특수학급학생수(명),순회학급학생수(명),합계사항(명)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,군서중학교,,공립,주간,N,,0,35,78,,,,3,0,116(3)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧한울초등학교,,공립,,N,,199,230,168,130,163,157,8,0,1055(8)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧해솔초등학교,,공립,,N,,278,250,207,195,181,182,5,0,1298(5)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,은빛초등학교,,공립,,N,,156,133,99,84,78,52,2,0,604(2)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧누리초등학교,,공립,,N,,93,75,69,43,45,42,3,0,370(3)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,월곶중학교,,공립,주간,N,,139,128,146,,,,3,0,416(3)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,시화중학교,,공립,주간,N,,97,86,118,,,,4,0,305(4)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,논곡중학교,,공립,주간,N,,59,64,91,,,,4,0,218(4)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥능곡중학교,,공립,주간,N,,218,205,230,,,,7,0,660(7)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,응곡중학교,,공립,주간,N,,188,180,177,,,,0,3,548(3)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥매화중학교,,공립,주간,N,,99,113,136,,,,1,0,349(1)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,은계중학교,,공립,주간,N,,202,177,249,,,,2,0,630(2)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,군자중학교,,공립,주간,N,,210,207,205,,,,9,5,636(14)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,대흥중학교,,공립,주간,N,,132,109,122,,,,7,0,370(7)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,서해중학교,,공립,주간,N,,358,252,223,,,,5,0,838(5)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,한국글로벌중학교,,사립,주간,N,,64,49,48,,,,3,0,164(3)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,소래중학교,,공립,주간,N,,229,251,298,,,,0,0,778(0)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,송운중학교,,공립,주간,N,,207,200,221,,,,10,0,638(10)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥은행중학교,,공립,주간,N,,396,358,340,,,,7,0,1101(7)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥중학교,,공립,주간,N,,239,184,236,,,,10,0,669(10)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,신천중학교,,공립,주간,N,,84,81,131,,,,13,0,309(13)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,연성중학교,,공립,주간,N,,223,222,225,,,,4,0,674(4)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,장곡중학교,,공립,주간,N,,142,150,172,,,,7,0,471(7)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,정왕중학교,,공립,주간,N,,213,208,155,,,,8,3,587(11)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧초등학교,,공립,,N,,280,328,273,274,231,200,9,0,1595(9)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧라온초등학교,,공립,,N,,213,174,153,152,118,115,1,0,926(1)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,검바위초등학교,,공립,,N,,60,80,65,61,80,70,4,0,420(4)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,계수초등학교,,공립,,N,,7,16,18,15,9,11,2,0,78(2)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,군서초등학교,,공립,,N,,131,102,108,92,114,84,11,0,642(11)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,군자초등학교,,공립,,N,,163,145,127,152,135,133,13,0,868(13)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,금모래초등학교,,공립,,N,,133,129,121,140,122,134,2,0,781(2)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,냉정초등학교,,공립,,N,,147,110,117,131,139,155,14,0,813(14)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,시화초등학교,,공립,,N,,62,58,72,62,76,63,10,3,406(13)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥매화초등학교,,공립,,N,,75,81,83,74,93,81,3,0,490(3)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥신일초등학교,,공립,,N,,123,122,133,132,147,128,8,0,793(8)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥은행초등학교,,공립,,N,,88,82,125,87,109,115,0,0,606(0)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥초등학교,,공립,,N,,141,133,134,133,151,137,15,0,844(15)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,신천초등학교,,공립,,N,,53,65,61,82,72,75,7,0,415(7)
2018,시흥시,경기도시흥교육지원청,경기도 시흥시,대야초등학교,,공립,,N,,51,60,60,81,57,55,8,0,372(8)
