,comment,author,date,like,type
94,오우 오우 승진이형 옆에서 팩폭박는거 너무<br>사이다여버리고 🤭🤭,wldh wjs,2022-02-07T15:22:55Z,0,main-comment
95,입터는거만보고 개잘할줄 알았더니 문호님한테 하는거보니까 분쇄기랑 웅진코웨이보다 훨아래 느낌이라 개웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Neul,2022-02-03T11:28:09Z,570,main-comment
96,확실이 제대로 된 빌런있으니 엄청 재밌네ㅋㅋㅋㅋㅋㅋ,섬딤섬,2022-02-05T10:25:39Z,2,main-comment
97,우연히 보게 되었는데 정말 재미있네요...여러가지로 방금 그 청년은 진심으로 뉘우쳐서 다시는 감옥에 가시지 말고 약자를 괴롭히지 않고 열심히 살길 바랍니다~~~~,이걷기운동,2022-02-06T00:26:14Z,2,main-comment
98,1화에 예능인줄 알고 잘못나온 귀염둥이들은 개그코드 좋았는데 ㅎㅎㅎ,홍성민,2022-02-07T16:23:09Z,0,main-comment
99,칼리 아르니스 배우시는 분 사람 자체가 멋있네ㅋㅋㅋㅋㅋ<br>경호 계통으로 일 하시는 분 같네,이효찬,2022-02-05T12:47:57Z,13,main-comment
100,"<a href=""https://www.youtube.com/watch?v=hRPqJfo483c&amp;t=23m40s"">23:40</a> 배맞는거 희열있네요 자꾸보러옴 내가다 속이 시원함",HA NA,2022-02-06T08:13:53Z,4,main-comment
101,역시 승진이형 와… 포스 진짜 죽이네.  멋진 아빠. 멋진 형. 멋진 사람,A Dean,2022-02-05T18:06:18Z,1,main-comment
102,문신따고 들어갔다 왔다고 가오잡고 자기가 쎈줄 아는 애들 이렇게 깨닫게 해주는거 좋은거같네요,김동언,2022-02-06T09:44:42Z,1,main-comment
103,요즘들어 죽음도 싸움도 자주 일어나는 장소가 정해져 있다는 것이 놀랍네요 👍근데 이거 도전자 받는 프로예요 갱생 프로예요? 문호 선수가 피지컬 개 털고 승진이형이 멘탈 짤딜 계속 넣으시고 도전자는 울라고 하고 ㅋㅋㅋㅋㅋ,Nitro Mare,2022-02-05T15:29:06Z,1,main-comment
104,문호프로님이 진짜 스파링 잘해주시네요. 바로 끝내지 않고 데미지만 줘가면서 도전자에 맞춰서 2분동안 격투실력 끌어낼 수 있게. 멋있어요.,JEON_이콩,2022-02-04T05:25:42Z,747,main-comment
105,따뜻하라고 덮어줄때 순간 맞는줄 알고 움찔 하는게 포인트,Who is Paran,2022-02-05T23:28:13Z,0,main-comment
106,힘드시겠지만 계속 해줬으면 좋겠습니다,The genius rich,2022-02-06T08:42:18Z,1,main-comment
107,마지막 쿠키영상좋다 ㅋㅋ 싸움을 잘하고 못하고 떠나서 저런 마인드가 멋이지,루카와,2022-02-06T09:51:51Z,0,main-comment
108,토크할때 서로 존나 기싸움하네ㅋㅋㅋ제일 쎈 정찬성은 정작 가만히 있는데,헤이헤이헤이,2022-02-06T11:39:48Z,4,main-comment
109,하승진 뒤에서 조곤조곤 트래쉬토킹하는게 너무 웃기네 ㅋㅋㅋㅋㅋ,오상근,2022-02-03T13:31:33Z,534,main-comment
110,@기리기리 이거지ㅋㅋㅋ,동동 리,2022-02-03T16:14:30Z,2,reply-comment
111,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅆㅇㅈ,Niké,2022-02-03T16:02:56Z,2,reply-comment
112,일부러 더 그러는거같음 ㅋㅋ 너 사실 ㅈ밥이야 넌 너보다 약한애들 괴롭힌거 뿐이야 를 심어주려고,기리기리,2022-02-03T15:36:16Z,37,reply-comment
113,이게 더 저 참가자에 어울리는 토킹임 ㅋㅋㅋㅋ,Slush vidyoz,2022-02-03T14:59:39Z,3,reply-comment
114,프로 농구로 다져진 실력 ㅋㅋ,장케빈,2022-02-03T14:21:23Z,78,reply-comment
115,정찬성선수 및 출연자분들 진짜멋있어요,게임하는 원숭이,2022-02-06T02:45:32Z,2,main-comment
116,참교육 멋집니다. 행여라도 여기서 졌다고 운동해서 또 싸우고 다닐까봐 걱정스럽네요. 그런일마저 하지않게 끝까지 참교육 부탁합니다.<br>맞는사람이 얼마나 아픈지 뼈져리게 느끼게해주는 이런프로 정말 기획좋네요,eunkyoung Style,2022-02-06T15:53:24Z,0,main-comment
117,정찬성씨 팬인데 요번거 재밌네요.<br>실력도 안되고 인성도 없는 인간들 참 교육 시키는 거 참 좋아요.<br>꼭 자기보다 약한사람 공격하는 인간들 교육이 필요하죠.,최강,2022-02-06T18:54:19Z,0,main-comment
118,찬성이형 옆에있을때는 순한 강아지였는데 ㄹㅇ,최정식,2022-02-06T10:23:58Z,0,main-comment
119,하승진님이 수유리 사기꾼 중간에 하차하지않고 끝까지 맞도록 옆에서 채찍질 잘해줌 ㅋㅋ 그리고 문호님도 2라운드까지 갈려고 1라운드 40초 남겨놓고 그냥 안때리시고 근데 정찬성님은 수유리 사기꾼 범죄자가 아닌 하나의 사람으로서 존중해주면서 훈훈하게 마무리.. 왜 정찬성 관장님인지 알 수있는 부분이였음. 안일권형님은 세계관 최강자시니까 끝까지 안싸워주셨음 좋겠음 싸우는 날에는 대한민국에 큰 지진이 날 수도 있으니까.,박찬희,2022-02-03T11:43:44Z,1704,main-comment
120,하승진 어이없다는 표정이 진짜 ㅋㅋㅋㅋ,두돧둗,2022-02-06T13:47:59Z,0,main-comment
121,양아치들 참교육 해주는 갱생 프로그램 넘 좋네요.,롤러코스터 남녀탐구생활,2022-02-06T11:01:09Z,0,main-comment
122,이때까지는 삶이 힘들었던거라면 남과 이쁘게 공존 하는 길로 행복을 찾길 바래요 동생 <br>응원합니다,alex BLUE,2022-02-05T17:07:59Z,5,main-comment
123,싸우는 도중에 &quot;씨발 이거 못치네&quot;이러는거랑 문호상에게 쳐발린후에 &quot;아 나 싸움 못해&quot;오ㅓ &quot;운동 배워야 겠다&quot;이러는 이유는 자신은 엄청 강하고 포텐셜이 있지만 현재 이사람이 너무 세다는 것을 어필하기 위한 허세와 자기를 무슨 싸움 성장해나가는 이세상의 주인공에 투영하는 심리입니다. 네. 많이 맞았지만 중2병은 아직 안고쳐졌고 ㄹㅇ 더 처맞고 모든 것을 잃어봐야 자신은 주인공도 뭣도 아닌 그냥 수유리 찌랭이 허세남이라는 것을 깨우칠듯 합니다,kdw1809,2022-02-06T14:04:36Z,14,main-comment
124,승진이 형님 옆에서 극딜넣는거 ㅈㄴ 웃기네욬ㅋㅋㅋ,이승민,2022-02-03T10:54:00Z,547,main-comment
125,"ㅋㅋㅋㅋ진짜 겁에 질려갖고 벌벌 떠는게 앞에 건방진모습들이 너무 실망스러울정도 ,  근데 마지막에 깔끔하게 인정할건 인정하고 반성(?)하는 듯한 모습은 보기 좋다",빡빽,2022-02-05T07:08:14Z,2,main-comment
