,comment,author,date,like,type
59,곽윤기선수  진짜 대단하다. 자기관리를 얼마나 철저히 했는지 느껴진다. 특히 치고나갈때 어마어마 하다. 이번에는 금메달 꼭 따길. 아니다 이미 땄다고 생각하고 하자 화이팅~~,hui sung Jeon,2022-02-12T13:04:15Z,1,main-comment
60,이러니 저러니해도 쇼트트랙은 멋있다. .피땀눈물로 멋있는 경기를 선물해준 선수들 감사합니다 ! 👏⭐️,융ㅇ,2022-02-12T16:34:30Z,1,main-comment
61,진짜 선수분들 정말 수고하셨고 잘하셨습니다ㅠㅠ결승도 좋은결과 없더라도 너무 수고하셨습니다ㅠㅠ,독사새키사우르스,2022-02-12T02:38:32Z,0,main-comment
62,황대헌 선수도 겁나 잘밀어준다 <br>그냥 쭉 나가네ㅎㅎ 다들 진짜 멋지다,지완,2022-02-11T21:19:52Z,4,main-comment
63,롱런하는 선수가 목표라던 곽윤기는 누구보다 우리 가슴속에 올림픽하면 떠오를 수 밖에 없는 선수가 될 것 같다고 확신합니다.. 누구보다 연륜이 보이는 경기였어요 끝까지 남은 경기 화이팅!,윤,2022-02-11T14:24:44Z,743,main-comment
64,와 진짜 대단하다는 말 밖에 안 나온당..ㅎㅎ 제발 공정한 결승전이 되기를..🙏🏻,룰루H,2022-02-12T01:20:10Z,1,main-comment
65,곽윤기 선수 인코스 추월 진짜 전매특허.. 대박,냠냠,2022-02-11T16:16:41Z,2,main-comment
66,곽윤기 선수님 가짜사나이2 때 금메달 따고 싶다고 하시면서 열심히 훈련받으실 때부터 응원하고 있었습니다! 우리나라 선수분들 모두모두 화이팅하세요!!!,영덕,2022-02-12T10:04:52Z,1,main-comment
67,하~~~~ 진짜 곽윤기 선수 추월할때마다<br>집에서 소리지르고ㅜㅜ 올림픽 선수들 중<br>곽윤기 선수 팬이라ㅜㅜ 핑크보이 진짜 너무 멋있네요ㅜㅜ 인코스 추월의 정석!! <br>2월16일 수요일 21시32분 결승전 진짜 벌써부터 기대되요!!!!!! 🥰😆,초코CC,2022-02-11T19:41:16Z,2,main-comment
68,"대한민국 꽉잡아 윤기!!!!!! 여전히 현역으로 뛰고 있는 이유를 보여준 곽윤기선수👍🏻 김동욱선수, 황대헌선수, 이준서선수 모든 선수들 남은 경기도 화이팅입니다❤️‍🔥 안방에서 응원할게요❤️",뿌요,2022-02-11T13:08:28Z,1106,main-comment
69,진짜... 힘든곳에서 힘든 상황들을 이겨내는 것이 <br>우리 선수님들이 얼마나 자기자신을 믿을수 있는지 곧 자기 자신을 어떤 상황이여도 믿을수 있게 노력을 했는지 대략이나마 느낄수 있어서 감탄 했습니다!!!,이상현,2022-02-11T17:43:38Z,13,main-comment
